,Next,Standard,294,Virtual,1,Total Errors,1,,,Manca l'ASIN,Inviato ad Amazon,,Inviato all'assistenza,,,,,
,box,Temporary,16,,,,,,,Manca lo SKU,In waiting,,Scartato,#REF!,,,,
,Box,Box Type,Picked,Shipped,LPN,Brand,Additional Info,Other Info,Product Description,Destination,Verification Request,State (Amz),Reason (Amz),Customer Notes,ASIN,SKU,FNSKU,Notes
,279,Standard,28/08/2024,27/08/2024,LPNHE828630742,Fgp,,,FGP - M. STEP® - Tutore bivalve per caviglia (mod. Standard),New inventory,,CUSTOMER_DAMAGED,NEVER_ARRIVED,,B0100Y8AMA,B0100Y8AMA,X001WPI9KX,
,279,Standard,28/08/2024,27/08/2024,LPNHE828074559,Fgp,,,FGP - M. STEP® - Tutore bivalve per caviglia (mod. Standard),New inventory,,DEFECTIVE,NOT_COMPATIBLE,Inadeguato,B0100Y8AMA,B0100Y8AMA,X001WPI9KX,
,279,Standard,28/08/2024,27/08/2024,LPNHE830135520,Fgp,,,FGP - M. STEP® - Tutore bivalve per caviglia (mod. Standard),New inventory,,DEFECTIVE,NOT_COMPATIBLE,Non calza bene un ragazzino di 14 anni,B0100Y8AMA,B0100Y8AMA,X001WPI9KX,
,279,Standard,28/08/2024,27/08/2024,LPNHE829941202,Fgp,,,FGP - M. STEP® - Tutore bivalve per caviglia (mod. Standard),New inventory,,DEFECTIVE,NOT_COMPATIBLE,Mi da fastidio alla caviglia,B0100Y8AMA,B0100Y8AMA,X001WPI9KX,
,228,Standard,27/08/2024,27/08/2024,LPNIC099028483,Epos,,puzzolente,"EPOS I Sennheiser Casque Gamer GSP 500, Casque Gaming Flip-to-Mute, Casque Audio Micro Antibruit, Arceau Ergonomique, Coussinets Mousse, Compatible PC",Dispose,,DEFECTIVE,DEFECTIVE,"Bonjour, Article déjà ouvert, surement un reconditionné. Le casque n&#39;est pas detecté par le pc peut importe le cable utilisé. Testé sur 3 pc différent. Merci",B079D7HJ13,4044155224320,X001QKSYY5,
,276,Standard,30/07/2024,28/08/2024,LPNHE810522529,Globus,,aperto - X,"GLOBUS | Magnum 3000 Pro, Magnetoterapia Professionale con 400 Gauss Totali di Potenza, 70 Programmi Certificati, per la Cura di Patologie Osteoarticolari e Recupero dopo Interventi Ortopedici",Assistance,,CUSTOMER_DAMAGED,MISSING_PARTS,,B07YZMP5D3,O3-80CP-Q2FA,X001N56IQT,
,277,Standard,30/07/2024,28/08/2024,LPNHK109814061,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,New inventory,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,28/08/2024,28/08/2024,LPNHE841327403,Dinobike,,,"Dino Bikes 124RL-UN Kinderfahrrad Fahrrad, Weiß/Pink, 12 Zoll",New inventory,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B07NFLS6JY,I2-I8V2-D1LO,X001XUWM9L,
,2,Virtual,28/08/2024,,LPNHK213981936,Sauermann,,,Sauermann Kondensatpumpe DP10CE05UN23 mit Kabelkanal,Dispose,,CUSTOMER_DAMAGED,DEFECTIVE,,B07MVZWWLW,amzn.gr.DY-K3UP-136V-03YdYq16mtHyC0sq-VG,X001ZRAM2L,
,278,Standard,28/08/2024,28/08/2024,LPNHK213233611,Gardena,,,"Gardena Tauch-Druckpumpe 5900/4 inox automatic: Automatische Tauchdruckpumpe mit 5900 l/h Fördermenge, mit Schmutzfilter, geräuscharmer Betrieb, integrierte Trockenlaufsicherung (1771-20)",Dispose,,CUSTOMER_DAMAGED,MISSING_PARTS,,B07YXHGHDZ,PU-N9DX-GS8E,X0021WVI9P,
,278,Standard,28/08/2024,28/08/2024,N.A.,Kerbl,,,,Dispose,,-,-,-,-,-,-,
,228,Standard,05/07/2024,28/08/2024,LPNHE831751653,Arizer,Signs of usage,,Extreme - Vaporizzatore Arizer V-Tower Extreme Q 4.0 con telecomando,Dispose,,DEFECTIVE,SWITCHEROO,"E&#39; il modello precedente senza telecomando/palloncini/FAN. Inoltre mancano alcune componenti e così a giudicare dall&#39;imballaggio penso fosse già stato usato. Tutto questo per 139 (si,139...) euro",B007571W0S,C0-U2VL-ENYR,X00207KFU9,
,3,Virtual,05/07/2024,,LPNIC109026368,Asrock,Signs of usage,,"Asrock H310CM-DVS S.1151 M, D-Sub/DVI DDR4",Dispose,,DEFECTIVE,DEFECTIVE,Varios pines del del conector lga se encuentran doblados y genera inestabilidad del sistema.,B07G6MP3LC,44-421Q-FGJ5,X001VT0G8N,
,228,Standard,05/07/2024,28/08/2024,LPNIC091027072,Globus,Missing components,,"GLOBUS | Magnum XL Magnetoterapia Domiciliaria Alta Potencia, 26 Programas, Tratamiento de Enfermedades Osteoarticulares, Fracturas, Dolor, Inflamación, Programas Estéticos para Celulitis y Estrías",Dispose,,CUSTOMER_DAMAGED,DEFECTIVE,,B00BQEVM9W,amzn.gr.BA-FFYS-RQSC-dVYGPUegTUFFD9YT-LN,X001YWYU5R,
,276,Standard,05/07/2024,28/08/2024,LPNIC101129456,Globus,Missing components,,"GLOBUS | Magnum XL Magnetoterapia Domiciliaria Alta Potencia, 26 Programas, Tratamiento de Enfermedades Osteoarticulares, Fracturas, Dolor, Inflamación, Programas Estéticos para Celulitis y Estrías",Dispose,,DEFECTIVE,DEFECTIVE,Lo he probado varias veces pero yo creo que no funciona. No hace nada.,B00BQEVM9W,amzn.gr.BA-FFYS-RQSC-P_I6zTKI31spxyld-VG,X001Y4FIUL,
,228,Standard,05/07/2024,28/08/2024,LPNHK221124544,Kerbl,Damaged product,,"Kerbl - Set mit Infrarotstrahlen, 250 W, Reflektorhalterung mit Schutzgitter, Kette zur Befestigung und Kabel 2,5 m",Dispose,,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,,B093CHJ7QC,MJ-RZWI-NV9N,X001CZZR71,
,228,Standard,05/07/2024,28/08/2024,LPNRP009613807,Kerbl,Damaged product,,"Kerbl - Set mit Infrarotstrahlen, 250 W, Reflektorhalterung mit Schutzgitter, Kette zur Befestigung und Kabel 2,5 m",Dispose,,CUSTOMER_DAMAGED,DEFECTIVE,,B093CHJ7QC,MJ-RZWI-NV9N,X001CZZR71,
,292,Standard,05/07/2024,,LPNHE826184480,Orno,Damaged packaging,,"ORNO OR-ZS-853 Elektronisches Türschloss mit Touch-Tastatur und Smart-Funktion - Fingerabdruckleser, Bluetooth 4.0 (Schwarz)",Dispose,,CUSTOMER_DAMAGED,DEFECTIVE,,B09J596FCV,5908254819001,B09J596FCV,
,2,Virtual,28/08/2024,,LPNHE787606179,Soundmaster,,,Soundmaster DAB60WE DAB+ UKW Bluetooth Badradio Steckdosenradio mit Bewegungsmelder und eingebautem Akku,Dispose,,DEFECTIVE,DEFECTIVE,Das Antennenkabel ist defekt. Kein durchgehend guter Empfang möglich. Ständig gibt es eine Störung.,B09779BFMM,OC-7PYA-CBVM,X001V60JSN,
,228,Standard,05/07/2024,28/08/2024,LPNHK200854623,Gedy,Damaged product,,Gedy - PORTE SAVON D'ANGLE BLANC JUNIOR - Gedy - G-80790200300,Dispose,,DEFECTIVE,DAMAGED_BY_FC,Der Artikel unten links ist nicht in einwandfreien Zustand.,B00JQOLN3Y,1V-2365-6PV0,X001VCJR5N,
,228,Standard,05/07/2024,28/08/2024,LPNHK200854624,Gedy,Damaged product,,Gedy - PORTE SAVON D'ANGLE BLANC JUNIOR - Gedy - G-80790200300,Dispose,,DEFECTIVE,DAMAGED_BY_FC,Der Artikel unten links ist nicht in einwandfreien Zustand.,B00JQOLN3Y,1V-2365-6PV0,X001VCJR5N,
,228,Standard,05/07/2024,28/08/2024,LPNHL961538713,Sauermann,Damaged packaging,,Sauermann Kondensatpumpe DP10CE05UN23 mit Kabelkanal,Dispose,,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,,B07MVZWWLW,DY-K3UP-136V,X001WUT001,
,292,Standard,05/07/2024,,LPNHE804501694,Orno,Damaged packaging,,"ORNO OR-ZS-853 Elektronisches Türschloss mit Touch-Tastatur und Smart-Funktion - Fingerabdruckleser, Bluetooth 4.0 (Schwarz)",Dispose,,CUSTOMER_DAMAGED,NOT_COMPATIBLE,,B09J596FCV,5908254819001,B09J596FCV,
,228,Standard,30/08/2024,02/09/2024,LPNHE824631943,,,,"Kerbl Kit lampe à rayons infrarouge chauffants 250 W + réflecteur porte-lampe avec grille de protection, chaîne de fixation et câble de 2,5 m",Dispose,,DEFECTIVE,DEFECTIVE,L ampoule c est désolidarise du pas de vis après moins de 4 h d utilisation c est scandaleux,B093CHJ7QC,MJ-RZWI-NV9N,X001CZZR71,
,269,Standard,06/09/2024,06/09/2024,LPNIC075959043,Dinobike,,,"Dino Bikes Bicicleta Infantil, Niños, Verde, 12 Pulgadas (30,48 cm)",Assistance,,CUSTOMER_DAMAGED,DEFECTIVE,,B01MDS5VHF,EH-YV7R-N7ME,B01MDS5VHF,
,269,Standard,06/09/2024,06/09/2024,LPNIC104859049,Dinobike,,,"Dino Bikes Bicicleta Infantil, Niños, Verde, 12 Pulgadas (30,48 cm)",Assistance,,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,,B01MDS5VHF,EH-YV7R-N7ME,B01MDS5VHF,
,269,Standard,06/09/2024,06/09/2024,LPNHK109056660,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,CUSTOMER_DAMAGED,SWITCHEROO,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,06/09/2024,06/09/2024,LPNHK211734830,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,DEFECTIVE,DEFECTIVE,,B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,06/09/2024,06/09/2024,N.A.,Dinobike,,,Modello 412UL 12'' MTB,Assistance,,-,-,-,-,-,-,
,269,Standard,06/09/2024,06/09/2024,N.A.,Dinobike,,,Modello 164R UN Unicron,Assistance,,-,-,-,-,-,-,
,269,Standard,06/09/2024,06/09/2024,LPNHK211594629,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,DEFECTIVE,DEFECTIVE,Schraube dreht durch und passt nicht für den Artikel. Außerdem sind die Einsatzteile nicht korrekt. Zudem ist ein Plastikteil beschädigt. Es sollte ein Geschenk für mein Sohn werden.Bin sehrenttäuscht,B01MDS5VHF,EH-YV7R-N7ME,B01MDS5VHF,
,269,Standard,06/09/2024,06/09/2024,N.A.,Dinobike,,,Modello 412UL 12'' MTB,Assistance,,-,-,-,-,-,-,
,269,Standard,06/09/2024,06/09/2024,LPNHK212173564,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,DEFECTIVE,DAMAGED_BY_CARRIER,Der Karton war total beschädigt und es fehlen Teile vom Fahrrad die Klingel und die wasserflasche und der Korb,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,06/09/2024,06/09/2024,LPNHK211713104,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,CUSTOMER_DAMAGED,NO_REASON_GIVEN,,B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,30/07/2024,09/09/2024,LPNHK109822608,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,,B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,30/07/2024,09/09/2024,LPNIC104750088,Dinobike,,,"Dino Bikes - 164R-UN Unicorn - Bicicleta con diseño de Unicornios de 40,6 cm, Color Blanco y Rosa",Assistance,,DEFECTIVE,DEFECTIVE,La bici está muy bien pero chirría una barbaridad y es nueva así que quiero otra igual pero en buen estado,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,30/07/2024,09/09/2024,LPNHK213063572,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,30/07/2024,09/09/2024,LPNHK104508508,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,DEFECTIVE,NOT_AS_DESCRIBED,"Eine zweite Bremse für das Hinterrad ist NICHT VORHANDEN. Weder Hand- noch Rücktrittbremse! Schade, denn eigentlich ist es sonst ein sehr schönes Kinderfahrrad!",B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,30/07/2024,09/09/2024,LPNHK105748184,Dinobike,,,"Dino Bikes 144R-UN, Einhorn, Fahrrad, Weiß/Rosa",Assistance,,CUSTOMER_DAMAGED,SWITCHEROO,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,12/08/2024,09/09/2024,LPNIC104012752,Dinobike,,,"Dino Bikes - 164R-UN Unicorn - Bicicleta con diseño de Unicornios de 40,6 cm, Color Blanco y Rosa",To be checked,,DEFECTIVE,DAMAGED_BY_FC,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,12/08/2024,09/09/2024,LPNHK110401821,Dinobike,,,"Dino Bikes- Vélo, 124 RL-Un, Multicolore",To be checked,,CUSTOMER_DAMAGED,UNWANTED_ITEM,,B07NFLS6JY,I2-I8V2-D1LO,X001XUWM9L,
,269,Standard,12/08/2024,09/09/2024,LPNHK112025115,Dinobike,,,Dino Bikes Vélo pour enfant Peppa Pig de 12 pouces Vélo pour fille avec roues de soutien amovibles à partir de 2 ans Vélo pour enfant avec panier avant et portepoupées Hauteur de selle et,To be checked,,CUSTOMER_DAMAGED,DEFECTIVE,,B0BQYYY6B2,NG-LZ7W-4GX7,B0BQYYY6B2,
,269,Standard,12/08/2024,09/09/2024,LPNHK109756310,Dinobike,,,Dino Bikes - 12 Zoll Kinderfahrrad Peppa Wutz Pig - Mädchen Fahrrad mit abnehmbaren Stützrädern ab 2 Jahren - Kinderrad mit Frontkorb & Puppenträger - verstellbare Sattel- & Lenkerhöhe (Pink),To be checked,,DEFECTIVE,DEFECTIVE,Die rader sind schief und Plastik rader,B0BQYYY6B2,5I-AY4T-LUOW,X001YKD4FL,
,269,Standard,12/08/2024,09/09/2024,LPNIC076219103,Dinobike,,,"Dino Bikes - 164R-UN Unicorn - Bicicleta con diseño de Unicornios de 40,6 cm, Color Blanco y Rosa",To be checked,,DEFECTIVE,DEFECTIVE,No se ha llegado a montar. Tiene marcas en varios sitios y la rueda no gira libremente,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,12/08/2024,09/09/2024,LPNHL961602881,Dinobike,,,Dino Bikes - 12 Zoll Kinderfahrrad Peppa Wutz Pig - Mädchen Fahrrad mit abnehmbaren Stützrädern ab 2 Jahren - Kinderrad mit Frontkorb & Puppenträger - verstellbare Sattel- & Lenkerhöhe (Pink),To be checked,,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,,B0BQYYY6B2,NG-LZ7W-4GX7,B0BQYYY6B2,
,269,Standard,12/08/2024,09/09/2024,LPNHE188818716,Dinobike,,,"Dino Bikes Unicorn 14"" Bicicletta, 14'' Bambina, Bianco e Rosa",To be checked,,DEFECTIVE,DEFECTIVE,Manca il sedile della bicicletta,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,12/08/2024,09/09/2024,LPNHL961122858,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,To be checked,,DEFECTIVE,DEFECTIVE,Dieses Fahrrad ist unbrauchbar u absolut nicht empfehlenswert die bremsen klemmen sich ständig fest man kann damit nicht fahren!!!,B01MDS5VHF,EH-YV7R-N7ME,B01MDS5VHF,
,269,Standard,28/08/2024,09/09/2024,LPNIC104884297,Dinobike,,,"Dino Bikes - 164R-UN Unicorn - Bicicleta con diseño de Unicornios de 40,6 cm, Color Blanco y Rosa",Assistance,,DEFECTIVE,DEFECTIVE,"Los frenos están al revés. Además de trabarse después de apretarlos El pedal izquierdo imposible de enroscar, está mal mecanizado y no se puede poner.",B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNIC104000175,Dinobike,,,"Dino Bikes - 144R-UN Unicorn - Bicicleta con diseño de Unicornios de 35,6 cm, Color Blanco y Rosa",Assistance,,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,28/08/2024,09/09/2024,LPNA031267745,Dinobike,,,"Bicicletta 12"" Peppa Pig",Assistance,,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,,B0BQYYY6B2,NG-LZ7W-4GX7,B0BQYYY6B2,
,269,Standard,28/08/2024,09/09/2024,LPNHL960666816,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,DEFECTIVE,NOT_AS_DESCRIBED,Defekt,B01MDS5VHF,amzn.gr.O3-WD58-FKQ3-4XyfFtv-Us9aa1DF-AC,X001Z63CWJ,
,269,Standard,28/08/2024,09/09/2024,LPNHE413982504,Dinobike,,,"Dino Bikes Unicorn Bicycle Unicornio, Niñas, Blanco y Rosa, 16 Pulgadas",Assistance,,DEFECTIVE,DEFECTIVE,Faltan bastantes piezas y no se puede montar la bicicleta.,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK272451177,Dinobike,,,"Dino Bikes Unicorn Bicycle Unicornio, Niñas, Blanco y Rosa, 16 Pulgadas",Assistance,,DEFECTIVE,MISSING_PARTS,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK213638531,Dinobike,,,"Dino Bikes Unicorn 16"" Bicycle Licorne 40,6 Fille, Blanc/Rose, 40,6 cm",Assistance,,DEFECTIVE,DEFECTIVE,Il manque des pièces,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK212806496,Dinobike,,,"Dino Bikes 124RL-UN Kinderfahrrad Fahrrad, Weiß/Pink, 12 Zoll",Assistance,,DEFECTIVE,DEFECTIVE,"Hallo,   bei dem Fahrrad geht die Rückbremse nicht. Es sieht aus als hätte das Fahrrad keine eingebaut.  Gibt es eine Lösung dafür?   LG Kutzschbauch",B07NFLS6JY,I2-I8V2-D1LO,X001XUWM9L,
,269,Standard,28/08/2024,09/09/2024,na,Dinobike,,forse unicornios,-,Assistance,,-,-,-,-,-,-,
,269,Standard,28/08/2024,09/09/2024,LPNHK104490613,Dinobike,,,"Dino Bikes- Vélo, 124 RL-Un, Multicolore",Assistance,,DEFECTIVE,DEFECTIVE,Une pedale du vélo est cassée au niveau du pas de vice,B07NFLS6JY,I2-I8V2-D1LO,X001XUWM9L,
,269,Standard,28/08/2024,09/09/2024,LPNHK213749592,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,DEFECTIVE,DEFECTIVE,Das Fahrrad kam an und der Kunststoff des Fahrrads war kaputt.  Teile des Fahrrads fehlen. Die Qualität des Fahrrades ist sehr schlecht,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,N.A.,Dinobike,,,unicorn,Assistance,,-,-,-,-,-,-,
,269,Standard,28/08/2024,09/09/2024,N.A.,Dinobike,,,unicorn,Assistance,,-,-,-,-,-,-,
,269,Standard,28/08/2024,09/09/2024,N.A.,Dinobike,,,peppa,Assistance,,-,-,-,-,-,-,
,269,Standard,28/08/2024,09/09/2024,N.A.,Dinobike,,,peppa,Assistance,,-,-,-,-,-,-,
,269,Standard,28/08/2024,09/09/2024,LPNHK104660714,Dinobike,,,"Dino Bikes 144R-UN, Einhorn, Fahrrad, Weiß/Rosa",Assistance,,CUSTOMER_DAMAGED,UNWANTED_ITEM,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,28/08/2024,09/09/2024,LPNHK105228600,Dinobike,,,"Dino Bikes Unicorn 16"" Bicycle Licorne 40,6 Fille, Blanc/Rose, 40,6 cm",Assistance,,CUSTOMER_DAMAGED,NEVER_ARRIVED,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK211569008,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,DEFECTIVE,DEFECTIVE,"Mangelfuld beskrivelse af cykel, som kom i en papkasse, som havde været åbnet. Og der er ridse på forgaflen.  Bremserne er skæve og kan ikke justeres. Dårlig kvalitet",B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK103578712,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,DEFECTIVE,DEFECTIVE,Es funktioniert nicht,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK213098614,Dinobike,,,"Dino Bikes 144R-UN, Einhorn, Fahrrad, Weiß/Rosa",Assistance,,CUSTOMER_DAMAGED,DEFECTIVE,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,28/08/2024,09/09/2024,LPNHE201015893,Dinobike,,,Dino Bikes Jungen Kinderfahrrad grün 412U Jungenfahrrad - 12 Zoll | TÜV geprüft | Original | Kinderrad mit Stützrädern - Das Fahrrad als Geschenk für Jungen,Assistance,,CUSTOMER_DAMAGED,MISSED_ESTIMATED_DELIVERY,,B01MDS5VHF,O3-WD58-FKQ3,X001YFWEFH,
,269,Standard,28/08/2024,09/09/2024,LPNHK212831110,Dinobike,,,"Dino Bikes 164R-UN Kinderfahrrad Einhorn, 16 Zoll Fahrrad mit Stützrädern, Schutzblech, Kettenschutz, Korb und Puppen-Aufsatz, Kinderrad mit Regenbogen Motive, für Kinder ab 6 Jahren, Weiß/Pink",Assistance,,CUSTOMER_DAMAGED,NEVER_ARRIVED,,B07NFLS4NW,A6-40IB-GE0F,X001XUPEEV,
,269,Standard,28/08/2024,09/09/2024,LPNHK213175203,Dinobike,,,"Dino Bikes 144R-UN, Einhorn, Fahrrad, Weiß/Rosa",Assistance,,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,269,Standard,28/08/2024,09/09/2024,N.A.,Dinobike,,,????,Assistance,,-,-,-,-,-,-,
,269,Standard,30/08/2024,09/09/2024,N.A.,Dinobike,,,,To be checked,,-,-,-,-,-,-,
,269,Standard,30/08/2024,09/09/2024,LPNHK104674356,Dinobike,,,"Dino Bikes 144R-UN, Einhorn, Fahrrad, Weiß/Rosa",Assistance,,DEFECTIVE,DEFECTIVE,,B07NFM32LG,1R-HX0M-GWPP,X001XUTZY1,
,3,Virtual,09/09/2024,,LPNHE686072379,Arizer,,,Arizer Solo 2,Dispose,,,,,,,,
,2,Virtual,09/08/2024,,LPNHE843106905,Fgp,,X,"FGP - PROGRAMMA RIZOARTROSI night&day - Pdn-sCa dx/sx - M, Destra",Assistance,,DEFECTIVE,QUALITY_UNACCEPTABLE,Troppo rigido e inadeguato,B00ZUEWCA2,GP-YGPK-SLCO,X001WXFGY7,
,3,Virtual,26/08/2024,,LPNIC109967871,Colpharma,,segni di utilizzo - X,"COLPHARMA - Dispositivo de magnetoterapia MAGNETOCARE, alta intensidad, alta y baja frecuencia, 2 canales, 20 programas de intensidad regulable",Assistance,,CUSTOMER_DAMAGED,PRODUCT_NOT_SPANISH,,B07LG4QT24,J9-VZOT-2OD0,X001TDI7EL,
,3,Virtual,26/08/2024,,LPNIC109846129,Colpharma,,segni di utilizzo - X,"COLPHARMA - Dispositivo de magnetoterapia MAGNETOCARE, alta intensidad, alta y baja frecuencia, 2 canales, 20 programas de intensidad regulable",Assistance,,DEFECTIVE,QUALITY_UNACCEPTABLE,El aparato no funciona correctamente y no se ajysta a las opiniones sobre el,B07LG4QT24,J9-VZOT-2OD0,X001TDI7EL,
,3,Virtual,26/08/2024,,LPNIC109776225,Colpharma,,X,"COLPHARMA - Dispositivo de magnetoterapia MAGNETOCARE, alta intensidad, alta y baja frecuencia, 2 canales, 20 programas de intensidad regulable",Assistance,,DEFECTIVE,DEFECTIVE,"Questo prodotto non emette alcun campo elettromagnetico. E&#39; stato sottoposto a prove con rilevatori gaussiani e prove cimatiche: e&#39; elettromagneticamente inerte. Rimborso, o segnalazione al Codacons.",B07LG4QT24,J9-VZOT-2OD0,X001TDI7EL,
,3,Virtual,26/08/2024,,LPNHE814991293,Blaupunkt,,X,"BLAUPUNKT 2001018000000 Bremen SQR 46 DAB, zwart",Assistance,,DEFECTIVE,DEFECTIVE,De radio reageert alleen maar op de aan- en uitknop en de draaiknoppen. Alle druktoetsen geen reactie. Bij het aanzetten komt er &#39;Telephone&#39; in het display te staan. Maar reageert niet op knoppen.,B07XVMBKW4,54-WBX6-EMB8,X001YY5D0L,
,2,Virtual,27/08/2024,,LPNHE835998722,Soundmaster,,usato ok,Soundmaster IR1500SI Internetradio DAB+ Digitalradio Netzwerkplayer UPNP Bluetooth Küchenunterbauradio Unterbauradio,Assistance,,DEFECTIVE,NOT_COMPATIBLE,Leider lässt es sich nicht an eine externe Stromleitung anschließen wegen dem Adapter.,B0BVWJRBBH,44-RSAL-YRVV,X001VFEHGT,
